time,temperature,precipitation,cloudcover
2026-04-04 03:00:00,9.2,0.1,100
2026-04-04 04:00:00,9.1,0.1,100
2026-04-04 05:00:00,9.3,0.0,99
2026-04-04 06:00:00,9.3,0.0,100
2026-04-04 07:00:00,9.3,0.0,100
2026-04-04 08:00:00,9.4,0.0,100
2026-04-04 09:00:00,9.5,0.0,97
2026-04-04 10:00:00,10.1,0.0,98
2026-04-04 11:00:00,10.8,0.0,95
2026-04-04 12:00:00,11.9,0.0,97
2026-04-04 13:00:00,12.5,0.0,99
2026-04-04 14:00:00,13.0,0.0,100
2026-04-04 15:00:00,13.4,0.0,100
2026-04-04 16:00:00,14.0,0.0,100
2026-04-04 17:00:00,13.9,0.0,98
2026-04-04 18:00:00,14.1,0.0,99
2026-04-04 19:00:00,13.8,0.0,90
2026-04-04 20:00:00,13.1,0.0,75
2026-04-04 21:00:00,12.6,0.0,83
2026-04-04 22:00:00,12.0,0.0,92
2026-04-04 23:00:00,11.5,0.0,100
2026-04-05 00:00:00,11.3,0.0,100
2026-04-05 01:00:00,11.1,0.0,100
2026-04-05 02:00:00,11.0,0.0,100
2026-04-05 03:00:00,10.7,0.0,77
2026-04-05 04:00:00,10.4,0.0,55
2026-04-05 05:00:00,10.3,0.0,32
2026-04-05 06:00:00,10.3,0.0,52
2026-04-05 07:00:00,10.6,0.0,73
2026-04-05 08:00:00,11.2,0.0,93
2026-04-05 09:00:00,12.2,0.0,88
2026-04-05 10:00:00,13.7,0.0,83
2026-04-05 11:00:00,15.0,0.0,78
2026-04-05 12:00:00,16.4,0.0,85
2026-04-05 13:00:00,17.8,0.0,93
2026-04-05 14:00:00,18.6,0.0,100
2026-04-05 15:00:00,18.6,0.0,100
2026-04-05 16:00:00,18.1,0.0,100
2026-04-05 17:00:00,17.4,0.0,100
2026-04-05 18:00:00,16.7,0.0,100
2026-04-05 19:00:00,15.7,0.0,100
2026-04-05 20:00:00,14.8,0.0,100
2026-04-05 21:00:00,14.0,0.0,98
2026-04-05 22:00:00,13.3,0.0,95
2026-04-05 23:00:00,12.4,0.0,93
2026-04-06 00:00:00,11.2,0.0,65
2026-04-06 01:00:00,9.9,0.0,37
2026-04-06 02:00:00,8.8,0.0,9
2026-04-06 03:00:00,8.0,0.0,6
2026-04-06 04:00:00,7.4,0.0,3
2026-04-06 05:00:00,7.0,0.0,0
2026-04-06 06:00:00,6.6,0.0,6
2026-04-06 07:00:00,6.4,0.0,11
2026-04-06 08:00:00,6.8,0.0,17
2026-04-06 09:00:00,8.2,0.0,12
2026-04-06 10:00:00,10.2,0.0,8
2026-04-06 11:00:00,11.9,0.0,3
2026-04-06 12:00:00,13.5,0.0,2
2026-04-06 13:00:00,14.9,0.0,3
2026-04-06 14:00:00,15.9,0.0,4
2026-04-06 15:00:00,16.9,0.0,7
2026-04-06 16:00:00,17.3,0.0,9
2026-04-06 17:00:00,17.4,0.0,10
2026-04-06 18:00:00,16.9,0.0,40
2026-04-06 19:00:00,16.0,0.0,70
2026-04-06 20:00:00,15.0,0.0,100
2026-04-06 21:00:00,14.0,0.0,93
2026-04-06 22:00:00,12.8,0.0,87
2026-04-06 23:00:00,11.9,0.0,80
2026-04-07 00:00:00,11.4,0.0,78
2026-04-07 01:00:00,11.2,0.0,76
2026-04-07 02:00:00,10.9,0.0,74
2026-04-07 03:00:00,10.7,0.0,67
2026-04-07 04:00:00,10.5,0.0,60
2026-04-07 05:00:00,10.3,0.0,53
2026-04-07 06:00:00,9.8,0.0,35
2026-04-07 07:00:00,9.1,0.0,18
2026-04-07 08:00:00,9.4,0.0,0
2026-04-07 09:00:00,11.1,0.0,0
2026-04-07 10:00:00,13.6,0.0,0
2026-04-07 11:00:00,16.0,0.0,0
2026-04-07 12:00:00,18.1,0.0,0
2026-04-07 13:00:00,20.0,0.0,0
2026-04-07 14:00:00,21.5,0.0,0
2026-04-07 15:00:00,22.6,0.0,1
2026-04-07 16:00:00,23.2,0.0,1
2026-04-07 17:00:00,23.4,0.0,2
2026-04-07 18:00:00,22.7,0.0,1
2026-04-07 19:00:00,21.5,0.0,1
2026-04-07 20:00:00,20.3,0.0,0
2026-04-07 21:00:00,19.3,0.0,0
2026-04-07 22:00:00,18.3,0.0,0
2026-04-07 23:00:00,17.4,0.0,0
